TopicID,Parent,Sibling,Title,Description,TranslateTo,Links
projectingLineForProofs,projectiveGeometry,7,Projektīvie pārveidojumi pierādījumos,Projektīvie pārveidojumi pierādījumos,,https://problems.ru/view_by_subject_new.php?parent=346
projectingLineForConstructions,projectiveGeometry,8,Projektīvie pārveidojumi konstrukcijas uzdevumos ,Projektīvie pārveidojumi konstrukcijas uzdevumos ,,https://problems.ru/view_by_subject_new.php?parent=347
constructionsWithStraightedge,projectiveGeometry,9,Konstrukcijas tikai ar lineālu,"Konstrukciju neiespējamība, izmantojot tikai lineālu",,https://problems.ru/view_by_subject_new.php?parent=348
projectivePlaneFinite,projectiveGeometry,10,Projektīvā plakne ar galīgu punktu skaitu,Projektīvā plakne ar galīgu punktu skaitu,,https://problems.ru/view_by_subject_new.php?parent=1065
otherProjectiveGeometry,projectiveGeometry,11,Cita projektīvā ģeometrija,Cita projektīvā ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=349
affineTransforms,affineGeometry,1,Afīnie pārveidojumi,Afīnie pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=338
affineTransformsAsTool,affineGeometry,2,Afīnie pārveidojumi kā palīglīdzeklis,Afīnie pārveidojumi kā palīglīdzeklis,,https://problems.ru/view_by_subject_new.php?parent=339
steinerInellipses,affineGeometry,3,Šteinera elipses,Šteinera elipses,,https://problems.ru/view_by_subject_new.php?parent=341
otherAffineGeometry,affineGeometry,4,Cita afīnā ģeometrija,Cita afīnā ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=340
cuttingAndTilingShapes,combinatorialGeometry,1,"Sagriešana, sadalīšana un pārklāšana","Sagriešana, sadalīšana un pārklāšana",,https://problems.ru/view_by_subject_new.php?parent=200
packingShapes,combinatorialGeometry,2,Pakošana,Pakošana,,https://problems.ru/view_by_subject_new.php?parent=1252
reconstructingShapes,combinatorialGeometry,3,Figūru pārbūvēšana,Figūru pārbūvēšana,,https://problems.ru/view_by_subject_new.php?parent=1249
coloringInDiscreteGeometry,combinatorialGeometry,4,Krāsojumi diskrētajā ģeometrijā,Krāsojumi diskrētajā ģeometrijā,,https://problems.ru/view_by_subject_new.php?parent=202
eulerCharacteristic,combinatorialGeometry,5,Eilera kritērijs,Eilera kritērijs,,https://problems.ru/view_by_subject_new.php?parent=201
integerGrids,combinatorialGeometry,6,Veselie režģi,Veselie režģi,,https://problems.ru/view_by_subject_new.php?parent=564
pointAndSegmentSystems,combinatorialGeometry,7,Punktu un nogriežņu sistēmas,Punktu un nogriežņu sistēmas,,https://problems.ru/view_by_subject_new.php?parent=569
squareGridGeometry,combinatorialGeometry,8,Rūtiņu lapas ģeometrija,Rūtiņu lapas ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=1259
otherCombinatorialGeometry,combinatorialGeometry,9,Cita kombinatoriskā ģeometrija,Cita kombinatoriskā ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=203
connectedShapes,topology,1,Sakarīgas figūras,Sakarīgas figūras,,https://problems.ru/view_by_subject_new.php?parent=1288
topologicalSurfaces,topology,2,Divdimensiju virsmas,Divdimensiju virsmas,,https://problems.ru/view_by_subject_new.php?parent=1245
insideAndOutside,topology,3,Iekšpuse un ārpuse,"Iekšpuse un ārpuse, Žordāna lemma",,https://problems.ru/view_by_subject_new.php?parent=1695
vectorFieldIndex,topology,4,Vektoru lauka indekss,Vektoru lauka indekss,,https://problems.ru/view_by_subject_new.php?parent=1898
otherTopology,topology,5,Cita topoloģija,Cita topoloģija,,https://problems.ru/view_by_subject_new.php?parent=1247
ruleOfProductCombinatorics,classicalCombinatorics,1,Reizināšanas likums kombinatorikā,Reizināšanas likums kombinatorikā,,https://problems.ru/view_by_subject_new.php?parent=1056
permutationsOfFiniteSets,classicalCombinatorics,2,Galīgu kopu permutācijas,Galīgu kopu permutācijas,,https://problems.ru/view_by_subject_new.php?parent=1061
combinationsAndVariations,classicalCombinatorics,3,Kombinācijas un variācijas,Kombinācijas un variācijas ar vai bez atkārtojumiem,,https://problems.ru/view_by_subject_new.php?parent=1057
partitionsOfFiniteSets,classicalCombinatorics,4,Galīgu kopu sadalījumi,Galīgu kopu sadalījumi,,https://problems.ru/view_by_subject_new.php?parent=1058
combinatoricsWithRestrictions,classicalCombinatorics,5,Kombinatorikas uzdevumi ar ierobežojumiem,Kombinatorikas uzdevumi ar ierobežojumiem,,https://problems.ru/view_by_subject_new.php?parent=1059
orbitCombinatorics,classicalCombinatorics,6,Orbītu kombinatorika,"Orbītu kombinatorika, Bērnsaida lemma",,https://problems.ru/view_by_subject_new.php?parent=1062
otherClassicalCombinatorics,classicalCombinatorics,7,Cita klasiskā kombinatorika,Cita klasiskā kombinatorika,,https://problems.ru/view_by_subject_new.php?parent=829
graphVertexDegree,graphs,1,Grafa virsotnes pakāpe,Grafa virsotnes pakāpe,,https://problems.ru/view_by_subject_new.php?parent=233
connectedGraphs,graphs,2,Sakarīgi grafi,Sakarīgi grafi un sadalīšana sakarīgās komponentēs,,https://problems.ru/view_by_subject_new.php?parent=234
trees,graphs,3,Koki,Koki,,https://problems.ru/view_by_subject_new.php?parent=235
planarGraphs,graphs,4,Planāri grafi,"Planāri grafi, Eilera formula",,https://problems.ru/view_by_subject_new.php?parent=235
