TopicID,Parent,Sibling,Title,Description,TranslateTo,Links
trigonometricalSubstitution,replacingVariables,1,Trigonometriskās substitūcijas,Trigonometriskās substitūcijas,,https://problems.ru/view_by_subject_new.php?parent=1261
otherReplacingVariables,replacingVariables,2,Cita mainīgo aizstāšana,Cita mainīgo aizstāšana,,https://problems.ru/view_by_subject_new.php?parent=1262
coordinateMethodSpace,coordinateMethod,1,Koordinātu metode telpā,Koordinātu metode telpā,,https://problems.ru/view_by_subject_new.php?parent=1290
coordinateMethodPlane,coordinateMethod,2,Koordinātu metode plaknē,Koordinātu metode plaknē,,https://problems.ru/view_by_subject_new.php?parent=1293
otherCoordinateMethod,coordinateMethod,3,Citas koordinātu metodes,Citas koordinātu metodes,,https://problems.ru/view_by_subject_new.php?parent=1297
twoPointsDistanceInSpace,coordinateMethodSpace,1,Attālums starp punktiem,Attālums starp punktiem,,https://problems.ru/view_by_subject_new.php?parent=1291
planeEquationInSpace,coordinateMethodSpace,2,Plaknes vienādojums,Plaknes vienādojums,,https://problems.ru/view_by_subject_new.php?parent=1292
parametrizedLineInSpace,coordinateMethodSpace,3,Taisnes parametrisks vienādojums,Taisnes parametrisks vienādojums,,https://problems.ru/view_by_subject_new.php?parent=1294
pointToPlaneDistanceInSpace,coordinateMethodSpace,4,Attālums no punkta līdz plaknei,Attālums no punkta līdz plaknei,,https://problems.ru/view_by_subject_new.php?parent=1295
otherCoordinateMethodSpace,coordinateMethodSpace,5,Citas koordinātu metodes telpā,Citas koordinātu metodes telpā,,https://problems.ru/view_by_subject_new.php?parent=1296
permutationsParity,permutationsOfFiniteSets,1,Permutāciju paritāte,Permutāciju paritāte,,https://problems.ru/view_by_subject_new.php?parent=710
transpositionsCycles,permutationsOfFiniteSets,2,Permutāciju transpozīcijas un cikli,Permutāciju transpozīcijas un cikli,,https://problems.ru/view_by_subject_new.php?parent=1237
otherPermutations,permutationsOfFiniteSets,3,Citi uzdevumi par permutācijām,Citi uzdevumi par permutācijām,,https://problems.ru/view_by_subject_new.php?parent=1238
dissectionProblemPlane,cuttingAndTilingShapes,1,Pārstatāmas figūras,Pārstatāmas figūras,,https://problems.ru/view_by_subject_new.php?parent=368
specialCuttingOfShapes,cuttingAndTilingShapes,2,Īpaši sagriešanas veidi,Īpaši sagriešanas veidi,,https://problems.ru/view_by_subject_new.php?parent=369
shapePropertiesAfterCutting,cuttingAndTilingShapes,3,Daļu īpašības pēc sagriešanas,Daļu īpašības pēc sagriešanas,,https://problems.ru/view_by_subject_new.php?parent=370
cuttingIntoParallelograms,cuttingAndTilingShapes,4,Sagriešana paralelogramos,Sagriešana paralelogramos,,https://problems.ru/view_by_subject_new.php?parent=371
planeIntersectedByLines,cuttingAndTilingShapes,5,"Plakne, ko sadala taisnes","Plakne, ko sadala taisnes",,https://problems.ru/view_by_subject_new.php?parent=372
miscellaneousCuttingProblems,cuttingAndTilingShapes,6,Dažādi uzdevumi par griešanu,Dažādi uzdevumi par griešanu,,https://problems.ru/view_by_subject_new.php?parent=373
partitioningShapesIntoSegments,cuttingAndTilingShapes,7,Figūru sadalīšana nogriežņos,Figūru sadalīšana nogriežņos,,https://problems.ru/view_by_subject_new.php?parent=374
covers,cuttingAndTilingShapes,8,Pārklājumi,Pārklājumi,,https://problems.ru/view_by_subject_new.php?parent=375
tilingWithDominoesOrTiles,cuttingAndTilingShapes,9,Flīzēšana ar domino u.c. flīzēm,Flīzēšana ar domino u.c. flīzēm,,https://problems.ru/view_by_subject_new.php?parent=376
otherCutting,cuttingAndTilingShapes,10,Cita sagriešana,Cita sagriešana,,https://problems.ru/view_by_subject_new.php?parent=377
polygonsAndPolyhedraInGrids,integerGrids,1,Daudzstūri un daudzskaldņi režģos,Daudzstūri un daudzskaldņi režģos,,https://problems.ru/view_by_subject_new.php?parent=565
pickTheorem,integerGrids,2,Pika formula,Pika formula,,https://problems.ru/view_by_subject_new.php?parent=566
minkowskiTheorem,integerGrids,3,Minkovska teorēma,Minkovska teorēma,,https://problems.ru/view_by_subject_new.php?parent=567
otherIntegerGrids,integerGrids,4,Citi veselie režģi,Citi veselie režģi,,https://problems.ru/view_by_subject_new.php?parent=568
systemsOfPoints,pointAndSegmentSystems,1,Punktu sistēmas,Punktu sistēmas,,https://problems.ru/view_by_subject_new.php?parent=570
systemsOfSegmentsLinesCircles,pointAndSegmentSystems,2,"Nogriežņu, taišņu un riņķa līniju sistēmas","Nogriežņu, taišņu un riņķa līniju sistēmas",,https://problems.ru/view_by_subject_new.php?parent=571
centerOfMass,pointAndSegmentSystems,3,Masu centrs kombinatoriskajā ģeometrijā,Masu centrs kombinatoriskajā ģeometrijā,,https://problems.ru/view_by_subject_new.php?parent=572
systemsOfPointsAndSegments,pointAndSegmentSystems,4,Punktu un nogriežņu sistēmu piemēri,Punktu un nogriežņu sistēmu piemēri,,https://problems.ru/view_by_subject_new.php?parent=573
otherPointAndSegmentSystems,pointAndSegmentSystems,5,Citas punktu un nogriežņu sistēmas,Citas punktu un nogriežņu sistēmas,,https://problems.ru/view_by_subject_new.php?parent=574
centerOfMassProperties,centerOfMass,1,Masu centra īpašības,Masu centra īpašības,,https://problems.ru/view_by_subject_new.php?parent=575
massGroupingTheorem,centerOfMass,2,Teorēma par masu grupēšanu,Teorēma par masu grupēšanu,,https://problems.ru/view_by_subject_new.php?parent=576
momentOfInertia,centerOfMass,3,Interces moments,Interces moments,,https://problems.ru/view_by_subject_new.php?parent=577
baricentricCoordinates,centerOfMass,4,Baricentriskās koordinātes,Baricentriskās koordinātes,,https://problems.ru/view_by_subject_new.php?parent=578
trilinearCoordinates,centerOfMass,5,Trilineārās koordinātes,Trilineārās koordinātes,,https://problems.ru/view_by_subject_new.php?parent=579
otherCenterOfMass,centerOfMass,6,Citi uzdevumi par masu centru,Citi uzdevumi par masu centru,,https://problems.ru/view_by_subject_new.php?parent=580
cauchyInequality,classicalInequalities,1,Košī nevienādība,Košī nevienādība,,https://problems.ru/view_by_subject_new.php?parent=158
otherClassicalInequalities,classicalInequalities,2,Citas klasiskas nevienādības,Citas klasiskas nevienādības,,https://problems.ru/view_by_subject_new.php?parent=261
symmetricEquations,higherDegreeEquations,1,Simetriskie vienādojumi,Simetriskie vienādojumi,,https://problems.ru/view_by_subject_new.php?parent=1279
otherHigherDegreeEquations,higherDegreeEquations,2,Citi augstākas pakāpes vienādojumi,Citi augstākas pakāpes vienādojumi,,https://problems.ru/view_by_subject_new.php?parent=1280
complexPlaneTransforms,complexPlane,1,Kompleksās plaknes pārveidojumi,Kompleksās plaknes pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=842
complexPlaneGeometry,complexPlane,2,Kompleksās plaknes ģeometrija,Kompleksās plaknes ģeometrija,,https://problems.ru/view_by_subject_new.php?parent=1228
complexLinearFractionTransforms,complexPlaneTransforms,1,Lineāru daļu pārveidojumi,Lineāru daļu pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=1231
otherComplexPlaneTransforms,complexPlaneTransforms,2,Citi kompleksās plaknes pārveidojumi,Citi kompleksās plaknes pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=1232
tablesWithNumbers,wordProblemsCompetitions,1,Skaitļu izkārtojumi,Skaitļu izkārtojumi,,https://problems.ru/view_by_subject_new.php?parent=1255
competitionsAndResults,wordProblemsCompetitions,2,Turnīri un to tabulas,Turnīri un to tabulas,,https://problems.ru/view_by_subject_new.php?parent=1256
chessboardAndPieces,wordProblemsCompetitions,3,Šaha galdiņš un figūras,Šaha galdiņš un figūras,,https://problems.ru/view_by_subject_new.php?parent=1257
otherTablesAndCompetitions,wordProblemsCompetitions,4,Citas tabulas un turnīri,Citas tabulas un turnīri,,https://problems.ru/view_by_subject_new.php?parent=1258
periodicDecimalFractions,decimalFractions,1,Periodiskas un neperiodiskas daļas,Periodiskas un neperiodiskas daļas,,https://problems.ru/view_by_subject_new.php?parent=1071
otherDecimalFractions,decimalFractions,2,Citi uzdevumi par decimāldaļām,Citi uzdevumi par decimāldaļām,,https://problems.ru/view_by_subject_new.php?parent=1072
quadraticRootFormula,quadraticPolynomials,1,Kvadrātvienādojuma sakņu formula,Kvadrātvienādojuma sakņu formula,,https://problems.ru/view_by_subject_new.php?parent=1696
quadraticVietaTheorem,quadraticPolynomials,2,Vjeta teorēma kvadrātvienādojumam,Vjeta teorēma kvadrātvienādojumam,,https://problems.ru/view_by_subject_new.php?parent=161
quadraticEquationsSystems,quadraticPolynomials,3,Kvadrātvienādojumi un sistēmas,Kvadrātvienādojumi un sistēmas,,https://problems.ru/view_by_subject_new.php?parent=1697
quadraticInequalitiesSystems,quadraticPolynomials,4,Kvadrātnevienādības un sistēmas,Kvadrātnevienādības un sistēmas,,https://problems.ru/view_by_subject_new.php?parent=162
quadraticPolynomialsReasoning,quadraticPolynomials,5,Spriedumi par kvadrāttrinomiem,Spriedumi par kvadrāttrinomiem,,https://problems.ru/view_by_subject_new.php?parent=163
quadraticCoefficientsPhasePlane,quadraticPolynomials,6,Kvadrātvienādojuma koeficientu fāzu plakne,Kvadrātvienādojuma koeficientu fāzu plakne,,https://problems.ru/view_by_subject_new.php?parent=1077
otherQuadraticPolynomials,quadraticPolynomials,7,Citi uzdevumi par kvadrāttrinomu,Citi uzdevumi par kvadrāttrinomu,,https://problems.ru/view_by_subject_new.php?parent=164
polynomialIdentities,algebraicIdentities,1,Polinomu identiskie pārveidojumi,Polinomu identiskie pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=694
factoringPolynomials,algebraicIdentities,2,Sadalīšana reizinātājos,Sadalīšana reizinātājos,,https://problems.ru/view_by_subject_new.php?parent=695
otherAlgebraicIdentities,algebraicIdentities,3,Citi algebrisko identitāšu formulu lietojumi,Citi algebrisko identitāšu formulu lietojumi,,https://problems.ru/view_by_subject_new.php?parent=696
lagrangeInterpolatingPolynomial,interpolatingPolynomials,1,Lagranža interpolācijas polinoms,Lagranža interpolācijas polinoms,,https://problems.ru/view_by_subject_new.php?parent=1074
newtonInterpolatingPolynomial,interpolatingPolynomials,2,Ņūtona interpolācijas polinoms,Ņūtona interpolācijas polinoms,,https://problems.ru/view_by_subject_new.php?parent=1075
chebyshevPolynomials,specialPolynomials,1,Čebiševa polinomi,Čebiševa polinomi,,https://problems.ru/view_by_subject_new.php?parent=1265
gaussianPolynomials,specialPolynomials,2,Gausa polinomi,Gausa polinomi,,https://problems.ru/view_by_subject_new.php?parent=1266
otherSpecialPolynomials,specialPolynomials,3,Citi īpašie polinomi,Citi īpašie polinomi,,https://problems.ru/view_by_subject_new.php?parent=1267
squareRootIdentities,squareRoot,1,Kvadrātsakņu identitātes,Kvadrātsakņu identitāšu pierādījumi un pārveidojumi,,https://problems.ru/view_by_subject_new.php?parent=122
otherSquareRoots,squareRoot,2,Citi uzdevumi par kvadrātsaknēm,Citi uzdevumi par kvadrātsaknēm,,https://problems.ru/view_by_subject_new.php?parent=123
higherDegreeRootIdentities,higherDegreeRoots,1,Augstāku pakāpju sakņu identitātes,Augstāku pakāpju sakņu identitātes,,https://problems.ru/view_by_subject_new.php?parent=125
otherHigherDegreeRoots,higherDegreeRoots,2,Citi uzdevumi par augstāku pakāpju saknēm,Citi uzdevumi par augstāku pakāpju saknēm,,https://problems.ru/view_by_subject_new.php?parent=126
arithmeticProgressions,progressions,1,Aritmētiskas progresijas,Aritmētiskas progresijas,,https://problems.ru/view_by_subject_new.php?parent=149
geometricProgressions,progressions,2,Ģeometriskas progresijas,Ģeometriskas progresijas,,https://problems.ru/view_by_subject_new.php?parent=150
fibonacciSequence,recurrentSequences,1,Fibonači skaitļi,Fibonači skaitļi,,https://problems.ru/view_by_subject_new.php?parent=854
linearRecurrences,recurrentSequences,2,Lineāras rekurences,Lineāras rekurences,,https://problems.ru/view_by_subject_new.php?parent=1270
otherRecurrentSequences,recurrentSequences,3,Citas rekurentas virknes,Citas rekurentas virknes,,https://problems.ru/view_by_subject_new.php?parent=855
divisibilityRules2and4,divisibilityRules,1,Dalāmības pazīmes ar 2 un 4,Dalāmības pazīmes ar 2 un 4,,https://problems.ru/view_by_subject_new.php?parent=139
divisibilityRules5and10,divisibilityRules,2,Dalāmības pazīmes ar 5 un 10,Dalāmības pazīmes ar 5 un 10,,https://problems.ru/view_by_subject_new.php?parent=822
divisibilityRules3and9,divisibilityRules,3,Dalāmības pazīmes ar 3 un 9,Dalāmības pazīmes ar 3 un 9,,https://problems.ru/view_by_subject_new.php?parent=140
divisibilityRules11,divisibilityRules,4,Dalāmības pazīmes ar 11,Dalāmības pazīmes ar 11,,https://problems.ru/view_by_subject_new.php?parent=141
otherDivisibilityRules,divisibilityRules,5,Citas dalāmības pazīmes,Citas dalāmības pazīmes,,https://problems.ru/view_by_subject_new.php?parent=142
divisionWithRemainder,modularArithmetic,1,Dalīšana ar atlikumu,Dalīšana ar atlikumu,,https://problems.ru/view_by_subject_new.php?parent=228
euclideanAlgorithm,modularArithmetic,2,Eiklīda algoritms,Eiklīda algoritms,,https://problems.ru/view_by_subject_new.php?parent=232
littleFermatTheorem,modularArithmetic,3,Mazā Fermā teorēma,Mazā Fermā teorēma,,https://problems.ru/view_by_subject_new.php?parent=243
eulerTheorem,modularArithmetic,4,Eilera teorēma,Eilera teorēma,,https://problems.ru/view_by_subject_new.php?parent=1066
chineseRemainderTheorem,modularArithmetic,5,Ķīniešu atlikumu teorēma,Ķīniešu atlikumu teorēma,,https://problems.ru/view_by_subject_new.php?parent=960
otherModularArithmetic,modularArithmetic,6,Cita modulārā aritmētika,Cita modulārā aritmētika,,https://problems.ru/view_by_subject_new.php?parent=1278
divisorFunctions,arithmeticFunctions,1,Dalītāju skaita un summas funkcijas,Dalītāju skaita un summas funkcijas,,https://problems.ru/view_by_subject_new.php?parent=964
eulerFunction,arithmeticFunctions,2,Eilera funkcija,Eilera funkcija,,https://problems.ru/view_by_subject_new.php?parent=965
moebiusFunction,arithmeticFunctions,3,Mēbiusa funkcija,Mēbiusa funkcija,,https://problems.ru/view_by_subject_new.php?parent=966
otherArithmeticFunctions,arithmeticFunctions,4,Citas aritmētiskās funkcijas,Citas aritmētiskās funkcijas,,https://problems.ru/view_by_subject_new.php?parent=967
measuringSegmentsAngles,planarLines,1,Nogriežņu un leņķu mērīšana,"Nogriežņu un leņķu mērīšana, blakusleņķi",,https://problems.ru/view_by_subject_new.php?parent=269
angleBisector,planarLines,2,Leņķa bisektrise,Leņķa bisektrise,,https://problems.ru/view_by_subject_new.php?parent=607
parallelAndIntersectingLines,planarLines,3,Paralēlu un krustisku taišņu īpašības,Paralēlu un krustisku taišņu īpašības un pazīmes,,https://problems.ru/view_by_subject_new.php?parent=593
threeCollinearPoints,planarLines,4,Trīs punkti uz vienas taisnes,Trīs punkti uz vienas taisnes,,https://problems.ru/view_by_subject_new.php?parent=969
threeConcurrentLines,planarLines,5,"Trīs taisnes, kas krustojas vienā punktā","Trīs taisnes, kas krustojas vienā punktā",,https://problems.ru/view_by_subject_new.php?parent=970
thalesTheorem,planarLines,6,Tallesa teorēma,Tallesa teorēma par proporcionāliem nogriežņiem,,https://problems.ru/view_by_subject_new.php?parent=270
perpendicularLines,planarLines,7,Perpendikulāras taisnes,Perpendikulāras taisnes,,https://problems.ru/view_by_subject_new.php?parent=594
polygonalChains,planarLines,8,Lauztas līnijas,Lauztas līnijas,,https://problems.ru/view_by_subject_new.php?parent=595
otherPlanarLines,planarLines,9,"Citi par taisnēm, stariem, nogriežņiem vai leņķiem","Citi par taisnēm, stariem, nogriežņiem vai leņķiem",,https://problems.ru/view_by_subject_new.php?parent=272
triangleSumOfAngles,triangles,1,Trijstūra leņķu summa,"Trijstūra leņķu summa, teorēma par ārējo leņķi",,https://problems.ru/view_by_subject_new.php?parent=275
trianglePerimeter,triangles,2,Trijstūra perimetrs,Trijstūra perimetrs,,https://problems.ru/view_by_subject_new.php?parent=652
isoscelesTriangles,triangles,3,Vienādsānu trijstūru īpašības,Vienādsānu trijstūra īpašības un pazīmes,,https://problems.ru/view_by_subject_new.php?parent=276
congruentTriangles,triangles,4,Vienādi trijstūri,Vienādi trijstūri un vienādības pazīmes,,https://problems.ru/view_by_subject_new.php?parent=278
similarTriangles,triangles,5,Līdzīgi trijstūri,Līdzīgi trijstūri,,https://problems.ru/view_by_subject_new.php?parent=279
specialTriangles,triangles,6,Trijstūru apakšgadījumi,Trijstūru apakšgadījumi,,https://problems.ru/view_by_subject_new.php?parent=288
inscribedCircumscribedTriangles,triangles,7,Trijstūrim ievilktā un apvilktā riņķa līnija,Trijstūrim ievilktā un apvilktā riņķa līnija,,https://problems.ru/view_by_subject_new.php?parent=298
triangleExcircles,triangles,8,Trijstūrim pievilktā riņķa līnija,Trijstūrim pievilktā riņķa līnija,,https://problems.ru/view_by_subject_new.php?parent=600
triangleSidesVsAngles,triangles,9,Attiecības trijstūra malām un leņķiem,"Attiecības trijstūra malām un leņķiem, trijstūra elementu atrašana",,https://problems.ru/view_by_subject_new.php?parent=299
triangleSpecialPoints,triangles,10,Īpaši punkti un taisnes trijstūrī,Īpaši punkti un taisnes trijstūrī,,https://problems.ru/view_by_subject_new.php?parent=324
triangleOther,triangles,11,Citi uzdevumi par trijstūriem,Citi uzdevumi par trijstūriem,,https://problems.ru/view_by_subject_new.php?parent=591
congruentTrianglesAsTool,congruentTriangles,1,Vienādi trijstūri kā palīglīdzeklis,Vienādi trijstūri kā palīglīdzeklis,,https://problems.ru/view_by_subject_new.php?parent=283
otherCongruentTriangles,congruentTriangles,2,Citi uzdevumi par vienādiem trijstūriem,Citi uzdevumi par vienādiem trijstūriem,,https://problems.ru/view_by_subject_new.php?parent=284
similarTrianglesProperties,similarTriangles,1,Līdzības pazīmes,Līdzības pazīmes,,https://problems.ru/view_by_subject_new.php?parent=627
similarTrianglesAsTool,similarTriangles,2,Līdzīgi trijstūri kā palīglīdzeklis,Līdzīgi trijstūri kā palīglīdzeklis,,https://problems.ru/view_by_subject_new.php?parent=968
twoPairsOfSimilarTriangles,similarTriangles,3,Divi līdzīgu trijstūru pāri,Divi līdzīgu trijstūru pāri,,https://problems.ru/view_by_subject_new.php?parent=656
segmentsBetweenParallelLines,similarTriangles,4,Nogriežņi starp paralēlām taisnēm,Nogriežņi starp paralēlām taisnēm,,https://problems.ru/view_by_subject_new.php?parent=280
similarTrianglesElementRatios,similarTriangles,5,Līdzīgu trijstūru elementu garumu attiecības,Līdzīgu trijstūru elementu garumu attiecības,,https://problems.ru/view_by_subject_new.php?parent=281
triangleOfTwoAltitudeFeetAndVertex,similarTriangles,6,"Trijstūris, ko veido divu augstumu pamati un virsotne","Trijstūris, ko veido divu augstumu pamati un virsotne",,https://problems.ru/view_by_subject_new.php?parent=285
otherSimilarTriangles,similarTriangles,7,Citi līdzīgi trijstūri,Citi līdzīgi trijstūri,,https://problems.ru/view_by_subject_new.php?parent=287
rightTriangles,specialTriangles,1,Taisnleņķa trijstūri,Taisnleņķa trijstūri,,https://problems.ru/view_by_subject_new.php?parent=289
equilateralTriangles,specialTriangles,2,Vienādmalu trijstūris,Vienādmalu trijstūris,,https://problems.ru/view_by_subject_new.php?parent=294
trianglesWithAngles60or120,specialTriangles,3,Trijstūri ar 60 vai 120 grādu leņķiem,Trijstūri ar 60 vai 120 grādu leņķiem,,https://problems.ru/view_by_subject_new.php?parent=295
trianglesWithIntegerSides,specialTriangles,4,Trijstūri ar veselām malām,Trijstūri ar veselām malām,,https://problems.ru/view_by_subject_new.php?parent=296
otherSpecialTriangles,specialTriangles,5,Citi trijstūru apakšgadījumi,Citi trijstūru apakšgadījumi,,https://problems.ru/view_by_subject_new.php?parent=297
rightTrianglesSimilarityProperties,rightTriangles,1,Taisnleņķa trijstūru vienādības pazīmes,Taisnleņķa trijstūru vienādības pazīmes,,https://problems.ru/view_by_subject_new.php?parent=619
medianOnHypotenuse,rightTriangles,2,Mediāna pret hipotenūzu,Mediāna pret hipotenūzu,,https://problems.ru/view_by_subject_new.php?parent=290
pythagoreanTheorem,rightTriangles,3,Pitagora teorēma,Pitagora teorēma tiešā un apgrieztā,,https://problems.ru/view_by_subject_new.php?parent=291
geometricMeanInRightTriangle,rightTriangles,4,Vidējie proporcionālie taisnleņķa trijstūrī,Vidējie proporcionālie taisnleņķa trijstūrī,,https://problems.ru/view_by_subject_new.php?parent=638
rightTriangleWithAngle30,rightTriangles,5,Taisnleņķa trijstūris ar 30 grādu leņķi,Taisnleņķa trijstūris ar 30 grādu leņķi,,https://problems.ru/view_by_subject_new.php?parent=621
trigonometryInRightTriangle,rightTriangles,6,Trigonometriskas sakarības taisnleņķa trijstūrī,Trigonometriskas sakarības taisnleņķa trijstūrī,,https://problems.ru/view_by_subject_new.php?parent=292
otherRightTriangles,rightTriangles,7,Citi taisnleņķa trijstūri,Citi taisnleņķa trijstūri,,https://problems.ru/view_by_subject_new.php?parent=293
lawOfCosines,triangleSidesVsAngles,1,Kosinusu teorēma,Kosinusu teorēma,,https://problems.ru/view_by_subject_new.php?parent=300
lawOfSines,triangleSidesVsAngles,2,Sinusu teorēma,Sinusu teorēma,,https://problems.ru/view_by_subject_new.php?parent=301
cevaMenelausTheorems,triangleSidesVsAngles,3,Čevas un Menelāja teorēmas,Čevas un Menelāja teorēmas,,https://problems.ru/view_by_subject_new.php?parent=302
stewartTheorem,triangleSidesVsAngles,4,Stjuarta teorēma,Stjuarta teorēma,,https://problems.ru/view_by_subject_new.php?parent=832
triangleCirclesRadii,triangleSidesVsAngles,5,"Ievilktās, apvilktās un pievilktās riņķa līnijas rādiusi","Ievilktās, apvilktās un pievilktās riņķa līnijas rādiusi",,https://problems.ru/view_by_subject_new.php?parent=303
triangleAltitudesMediansBisectors,triangleSidesVsAngles,6,"Malu, augstumu, mediānu un bisektrišu garumi","Malu, augstumu, mediānu un bisektrišu garumi",,https://problems.ru/view_by_subject_new.php?parent=306
triangleAnglesSineCosine,triangleSidesVsAngles,7,Trijstūra leņķu sinusi un kosinusi,Trijstūra leņķu sinusi un kosinusi,,https://problems.ru/view_by_subject_new.php?parent=307
triangleAnglesTangentCotangent,triangleSidesVsAngles,8,Trijstūra leņķu tangensi un kotangensi,Trijstūra leņķu tangensi un kotangensi,,https://problems.ru/view_by_subject_new.php?parent=308
otherTriangleSidesVsAngles,triangleSidesVsAngles,9,Citas attiecības starp trijstūru malām un leņķiem,Citas attiecības starp trijstūru malām un leņķiem,,https://problems.ru/view_by_subject_new.php?parent=309
eulerFormulaTriangle,triangleCirclesRadii,1,Eilera formula trijstūrim,Eilera formula trijstūrim,,https://problems.ru/view_by_subject_new.php?parent=304
otherTriangleCirclesRadii,triangleCirclesRadii,2,Citas sakarības trijstūra riņķa līnijām,Citas sakarības trijstūra riņķa līnijām,,https://problems.ru/view_by_subject_new.php?parent=305
midsegments,triangleSpecialPoints,1,Trijstūra viduslīnija,Средняя линия треугольника (330 задач),,https://problems.ru/view_by_subject_new.php?parent=596
triangleBaricenter,triangleSpecialPoints,2,Mediānu krustpunkts,"Mediānu krustpunkts, smaguma centrs",,https://problems.ru/view_by_subject_new.php?parent=325
triangleMedianDoubling,triangleSpecialPoints,3,Mediānas dubultošana,Mediānas dubultošana,,https://problems.ru/view_by_subject_new.php?parent=663
trianglePerpedicularBisectorProperties,triangleSpecialPoints,4,Trijstūra vidusperpendikulu īpašības,Trijstūra vidusperpendikulu īpašības,,https://problems.ru/view_by_subject_new.php?parent=326
triangleBisectorProperties,triangleSpecialPoints,5,Bisektrišu krustpunkts,"Bisektrišu īpašības, bisektrišu krustpunkts",,https://problems.ru/view_by_subject_new.php?parent=327
triangleBisectorDividingSide,triangleSpecialPoints,6,"Attiecība, kādā bisektrisa dala malu","Attiecība, kādā bisektrisa dala malu",,https://problems.ru/view_by_subject_new.php?parent=831
triangleBisectorAngles,triangleSpecialPoints,7,Leņķi starp bisektrisēm,Leņķi starp bisektrisēm,,https://problems.ru/view_by_subject_new.php?parent=971
triangleAltitudeProperties,triangleSpecialPoints,8,"Augstumu īpašības, krustpunkts","Augstumu īpašības, augstumu krustpunkts",,https://problems.ru/view_by_subject_new.php?parent=328
orthicTriangle,triangleSpecialPoints,9,Ortotrijstūris,Ortotrijstūris,,https://problems.ru/view_by_subject_new.php?parent=329
placementTriangleSpecialLines,triangleSpecialPoints,10,"Augstumu, mediānu, bisektrišu novietojums","Augstumu, mediānu, bisektrišu un citu līniju savstarpējais novietojums",,https://problems.ru/view_by_subject_new.php?parent=330
eulerLineAndNinePointCircle,triangleSpecialPoints,11,Eilera taisne un 9 punktu riņķa līnija,Eilera taisne un 9 punktu riņķa līnija,,https://problems.ru/view_by_subject_new.php?parent=331
brocardPoints,triangleSpecialPoints,12,Brokāra punkti,Brokāra punkti,,https://problems.ru/view_by_subject_new.php?parent=332
lemoinePoint,triangleSpecialPoints,13,Lemuāna punkts,Lemuāna punkts,,https://problems.ru/view_by_subject_new.php?parent=333
toriccelliPoint,triangleSpecialPoints,14,Toričelli punkts,Toričelli punkts,,https://problems.ru/view_by_subject_new.php?parent=618
simsonLine,triangleSpecialPoints,15,Simsona taisne,Simsona taisne,,https://problems.ru/view_by_subject_new.php?parent=334
newtonGaussLine,triangleSpecialPoints,16,Gausa taisne,Gausa taisne,,https://problems.ru/view_by_subject_new.php?parent=335
nagelPointAndLine,triangleSpecialPoints,17,"Nāgela punkts, Nāgela taisne","Nāgela punkts, Nāgela taisne",,https://problems.ru/view_by_subject_new.php?parent=651
miquelPoint,triangleSpecialPoints,18,Mikela punkts,Mikela punkts,,https://problems.ru/view_by_subject_new.php?parent=667
pedalTriangle,triangleSpecialPoints,19,Pedāļu trijstūris,Pedāļu trijstūris,,https://problems.ru/view_by_subject_new.php?parent=336
otherTriangleSpecialPoints,triangleSpecialPoints,20,Citi īpaši punkti un taisnes trijstūrī,Citi īpaši punkti un taisnes trijstūrī,,https://problems.ru/view_by_subject_new.php?parent=337
pentagons,polygons,1,Piecstūri,Piecstūri,,https://problems.ru/view_by_subject_new.php?parent=435
hexagons,polygons,2,Sešstūri,Sešstūri,,https://problems.ru/view_by_subject_new.php?parent=436
regularPolygons,polygons,3,Regulāri daudzstūri,Regulāri daudzstūri,,https://problems.ru/view_by_subject_new.php?parent=437
polygonSumOfAngles,polygons,4,Daudzstūra iekšējo un ārējo leņķu summas,Daudzstūra iekšējo un ārējo leņķu summas,,https://problems.ru/view_by_subject_new.php?parent=438
inscribedCircumscribedPolygons,polygons,5,"Daudzstūri, kuros ievilkt/apvilkt riņķa līniju","Daudzstūri, kuros ievilkt/apvilkt riņķa līniju",,https://problems.ru/view_by_subject_new.php?parent=439
arbitraryPolygons,polygons,6,Patvaļīgi daudzstūri,Patvaļīgi daudzstūri,,https://problems.ru/view_by_subject_new.php?parent=440
pascalTheoremPolygons,polygons,7,Paskāla teorēma,Paskāla teorēma,,https://problems.ru/view_by_subject_new.php?parent=441
polygonComputations,polygons,8,Daudzstūru aprēķini,"Daudzstūru aprēķini, metriskas sakarības",,https://problems.ru/view_by_subject_new.php?parent=442
otherPolygons,polygons,9,Citi uzdevumi par daudzstūriem,Citi uzdevumi par daudzstūriem,,https://problems.ru/view_by_subject_new.php?parent=443
vectorExpressInPlanarBase,vectors,1,Vektora izteikšana ar divu vektoru bāzi,Vektora izteikšana ar divu vektoru bāzi,,https://problems.ru/view_by_subject_new.php?parent=623
polygonSideVectors,vectors,2,Daudzstūra malu vektori,Daudzstūra malu vektori,,https://problems.ru/view_by_subject_new.php?parent=458
scalarProduct,vectors,3,Skalārais reizinājums,"Skalārais reizinājums, sakarības",,https://problems.ru/view_by_subject_new.php?parent=459
vectorInequalities,vectors,4,Nevienādības ar vektoriem,Nevienādības ar vektoriem,,https://problems.ru/view_by_subject_new.php?parent=460
