L1,L2,L3,L4,L5,Label,ShortDescription,BestSamples,Comments
2,2,4,0,0,div.fta.pow.expsystem,"Pārveidot veselu skaitļu vienādojumu par sistēmu, pielīdzinot pirmskaitļu kāpinātājus.",,
2,2,5,0,0,div.fta.factorial,Izmantot faktoriāla dalījumu pirmreizinātājos,,
2,3,0,0,0,div.common,"Izmantot LKD un MKD jēdzienus (common multipliers, divisors)",,
2,3,1,0,0,div.common.lcm,Atrast mazāko kopīgo dalāmo (MKD),,
2,3,1,1,0,div.common.lcm.maxexp,Iegūt LKD vai MKD no skaitļu sadalījumiem pirmreizinātājos (attiecīgi minimums vai maksimums no pirmskaitļu pakāpēm),,
2,3,1,2,0,div.common.lcm.mult,"Atrast visus divu skaitļu kopīgos dalāmos formā MKD(a,b)*k",,
2,3,1,3,0,div.common.lcm.frac,Izmantot MKD racionālu daļu saskaitīšanā,,
2,3,2,0,0,div.common.gcd,Izmantot LKD jēdzienu,,
2,3,2,1,0,div.common.gcd.euclid,Izmantot Eiklīda algoritmu,,
2,3,2,2,0,div.common.gcd.subsequent,"Izmantot, ka LKD(n,n+1)=1",,
2,3,2,3,0,div.common.gcd.bezout,Izmantot Bezū identitāti,,
2,5,0,0,0,div.valu,"Izmantot spriedumus par valuāciju (lielāko pirmskaitļa pakāpi, ar ko dalās n)",,
2,5,1,0,0,div.valu.prop,Izmantot valuāciju īpašības,,
2,5,1,1,0,div.valu.prop.prod,Izmantot faktu: skaitļu reizinājuma valuācija ir reizinātāju valuāciju summa,,
2,5,1,1,1,div.valu.prop.legendre,Lietot Ležandra formulu v_p(n!)=[n/p]+[n/p^2]+...,,
2,5,1,1,2,div.valu.prop.other,Izmantot valuāciju saskaitīšanu citiem gariem reizinājumiem,,
2,5,1,2,0,div.valu.prop.sum,Izmantot faktu: skaitļu summas valuācija ir vismaz saskaitāmo valuāciju minimums,,
2,5,1,3,0,div.valu.prop.min,"Izmantot faktu: skaitļu summas valuācija ir saskaitāmo valuāciju minimums, ja tās atšķiras",,
2,5,2,0,0,div.valu.change,Izmantot p-valuācijas funkcijas vērtību izmaiņas,,
3,0,0,0,0,mod,"Izmantot spriedumus par skaitļu atlikumiem, dalot ar to pašu",,
3,1,0,0,0,mod.fix,"Izmantot atlikumu sistēmas galīgumu pēc neliela, fiksēta moduļa",,
3,1,1,0,0,mod.fix.parity,Izmantot spriedumus par skaitļu paritāti; Pāriet uz galīga skaita gadījumu aplūkošanu atkarībā no pāra/nepāra,,
3,1,2,0,0,mod.fix.lastdigits,"Izmantot skaitļa pēdējos n ciparus kā atlikumu, dalot ar 10^n. Secināt par atlikumiem (dalot ar 10, 100, 2, 5 u.c.), zinot skaitļu decimālpieraksta pēdējo ciparu vai ciparus.",,
3,1,3,0,0,mod.fix.clock,Secināt par saskaitīšanu un atņemšanu pēc 12 stundu ciparnīcas vai nedēļas cikla.,,
3,2,0,0,0,mod.congr,Izmantot apgalvojumus par skaitļa izteikšanu ar dalījumu un atlikumu (a=bq+r) un kongruenču klases.,,
3,2,1,0,0,mod.congr.classes,"Izmantot apgalvojumu, ka atlikumi (mod d) pieņem d vērtības",,
3,2,1,0,0,mod.congr.sumdiff,"Secināt, ka summas/starpības a_1+b_1 un a_2+b_2 kongruenti (mod m), ja kongruenti a_1 ar a_2 un b_1 ar b_1",,
3,2,3,0,0,mod.congr.prod,"Secināt, ka a_1*b_1 un a_2*b_2 kongruenti (mod m), ja kongruenti a_1 ar a_2 un b_1 ar b_2",,
3,2,4,0,0,mod.congr.pow,"Secināt, ka (a_1)^n un (a_2)^n kongruenti (mod m), ja kongruenti a_1 ar a_2",,
3,2,5,0,0,mod.congr.poly,"Secināt P(x) vērtību kongruenci, ja polinoma argumenti ir kongruenti",,
3,3,0,0,0,mod.period,"Izmantot atlikumu virknes periodiskumu, ja katru nākamo atlikumu nosaka iepriekšējais (vai galīgs skaits iepriekšējo)",,
3,4,0,0,0,mod.exp,"Izmantot eksponentfunkciju atlikumu periodiskumu, ja arguments pieaug (t.sk. secināt, ka a^n kongruents 1 (mod m), ja kongruenti a un 1)",,
3,4,1,0,0,mod.exp.inverse,Use inverse elements w.r.t. congruence multiplication; determine when they exist. ,,
3,4,2,0,0,mod.exp.fermat,"Lietot Mazo Fermā teorēmu: $a^{p-1}$ kongruents ar 1 katram pirmskaitlim p, ja gcd(a,p)=1",,
3,5,0,0,0,mod.eq,"Secināt par kongruenču vienādojumiem un risināt tos (t.sk. ar lineāriem pārveidojumiem - pieskaitot, atņemot vai reizinot ar skaitli)",,
3,5,1,0,0,mod.eq.linear,"Risināt lineāras kongruences, piemēram, izmantojot inversos elementus.",,
3,5,2,0,0,mod.eq.contradict,"Secināt, ka veselu skaitļu vienādojumam nav atrisinājumu kongruenču pretrunas dēļ",,
3,5,3,0,0,mod.eq.chinese,Izmantot ķīniešu atlikumu teorēmu,,
4,0,0,0,0,nota,Izmantot spriedumos skaitļa pierakstu,,
4,1,0,0,0,nota.est,Izmantot skaitļa decimālpierakstu,,
4,1,1,0,0,nota.est.numdigits,Novērtēt ciparu skaitu dažādu darbību rezultātos,LV.NO.2004.8.2,
4,1,1,1,0,nota.est.numdigits.sum,Novērtēt ciparu skaitu divu vai vairāku skaitļu summā,,
4,1,1,2,0,nota.est.numdigits.prod,Novērtēt ciparu skaitu divu skaitļu reizinājumā,,
4,2,0,0,0,nota.divrule,Izmantot dalāmības pazīmes,,
4,2,1,0,0,nota.divrule.2_5_10,"Izmantot dalāmības pazīmes ar 2 vai 5, vai 10",,
4,2,1,1,0,nota.divrule.2_5_10.divides,"Secināt, ka skaitlis dalās ar 2 (vai 5, vai 10), ja tā pēdējais cipars dalās ar to un otrādi",,
4,2,1,2,0,nota.divrule.2_5_10.rem,"Secināt, ka atlikums, dalot ar 2 (vai 5, vai 10), sakrīt ar pēdējā cipara atlikumu",,
4,2,2,0,0,nota.divrule.2_5pow,Izmantot dalāmības pazīmes ar 2^a*5^b,,
4,2,2,1,0,nota.divrule.2_5pow.divides,"Secināt, ka skaitlis dalās ar 2^a*5^b, ja max(a,b) pēdējie cipari dalās ar to",,
4,2,2,2,0,nota.divrule.2_5pow.rem,"Secināt, ka atlikums, dalot ar 2^a*5^b, sakrīt ar pēdējo max(a,b) ciparu atlikumu",,
4,2,3,0,0,nota.divrule.3_9,Izmantot dalāmības pazīmes ar 3 vai 9,,
4,2,3,1,0,nota.divrule.3_9.divides,"Secināt, ka skaitlis dalās ar 3 (vai 9), ja tā ciparu summa dalās ar 3 (vai 9) un otrādi",,
4,2,3,2,0,nota.divrule.3_9.rem,"Secināt, ka atlikums, dalot ar 3 (vai 9), sakrīt ar ciparu summas atlikumu",,
4,2,4,0,0,nota.divrule.11,Izmantot dalāmības pazīmi ar 11,,
4,2,5,0,0,nota.divrule.101,Izmantot dalāmības pazīmi ar 101 (no beigām pārmaiņus pieskaita un atņem 2 ciparu grupiņas),,
4,2,6,0,0,nota.divrule.1001,Izmantot dalāmības pazīmes 1001 dalītājiem,,
4,2,5,0,0,nota.divrule.composite,Izmantot kombinētās dalāmības pazīmes skaitļa decimālpierakstā (ar 2 un 3 utml.),,
4,3,0,0,0,nota.combine,"Saprast, kā mainās skaitlis, ja tajā pārvieto vai iesprauž ciparus",,
4,3,1,0,0,nota.combine.poly,"Izteikt skaitli ar decimālpieraksta cipariem, reizinot ar 10^k",,
4,3,1,1,0,nota.combine.poly.pieces,"Izteikt skaitli gan ar cipariem, gan garākiem gabaliem",,
